=== 2. PROCESSES & SERVICES ===
USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         132  0.0  0.0      0     0 ?        S    Aug07   3:29  \_ [ksoftirqd/23]
root         134  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/23:0H-events_highpri]
root         135  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/24]
root         136  0.0  0.0      0     0 ?        S    Aug07   0:15  \_ [migration/24]
root         137  0.0  0.0      0     0 ?        S    Aug07   2:53  \_ [ksoftirqd/24]
root         139  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/24:0H-events_highpri]
root         140  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/25]
root         141  0.0  0.0      0     0 ?        S    Aug07   0:13  \_ [migration/25]
root         142  0.0  0.0      0     0 ?        S    Aug07   3:01  \_ [ksoftirqd/25]
root         144  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/25:0H-events_highpri]
root         145  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/26]
root         146  0.0  0.0      0     0 ?        S    Aug07   0:13  \_ [migration/26]
root         147  0.0  0.0      0     0 ?        S    Aug07   3:08  \_ [ksoftirqd/26]
root         149  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/26:0H-events_highpri]
root         150  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/27]
root         151  0.0  0.0      0     0 ?        S    Aug07   0:12  \_ [migration/27]
root         152  0.0  0.0      0     0 ?        S    Aug07   3:14  \_ [ksoftirqd/27]
root         154  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/27:0H-events_highpri]
root         155  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/28]
root         156  0.0  0.0      0     0 ?        S    Aug07   0:13  \_ [migration/28]
root         157  0.0  0.0      0     0 ?        S    Aug07   3:15  \_ [ksoftirqd/28]
root         159  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/28:0H-events_highpri]
root         160  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/29]
root         161  0.0  0.0      0     0 ?        S    Aug07   0:12  \_ [migration/29]
root         162  0.0  0.0      0     0 ?        S    Aug07   3:21  \_ [ksoftirqd/29]
root         164  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/29:0H-events_highpri]
root         165  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/30]
root         166  0.0  0.0      0     0 ?        S    Aug07   0:13  \_ [migration/30]
root         167  0.0  0.0      0     0 ?        S    Aug07   3:24  \_ [ksoftirqd/30]
root         169  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/30:0H-events_highpri]
root         170  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/31]
root         171  0.0  0.0      0     0 ?        S    Aug07   0:18  \_ [migration/31]
root         172  0.0  0.0      0     0 ?        S    Aug07   3:21  \_ [ksoftirqd/31]
root         174  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/31:0H-events_highpri]
root         175  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/32]
root         176  0.0  0.0      0     0 ?        S    Aug07   0:19  \_ [migration/32]
root         177  0.0  0.0      0     0 ?        S    Aug07   4:27  \_ [ksoftirqd/32]
root         179  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/32:0H-events_highpri]
root         181  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/33]
root         182  0.0  0.0      0     0 ?        S    Aug07   0:19  \_ [migration/33]
root         183  0.0  0.0      0     0 ?        S    Aug07   3:56  \_ [ksoftirqd/33]
root         185  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/33:0H-events_highpri]
root         186  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/34]
root         187  0.0  0.0      0     0 ?        S    Aug07   0:18  \_ [migration/34]
root         188  0.0  0.0      0     0 ?        S    Aug07   3:35  \_ [ksoftirqd/34]
